avg_outflow,avg_inflow,total_grid,Am,BOD,COD,TN,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,year,month,day
2.967,3.488,174894,34,435.5,871,64.366,17.6,23.7,12,0,61,0,9.7,20.6,31.7,0,2014,2,10
2.965,3.448,196915,36,320,871,64.301,20.1,27.3,11.9,0,68,0,6.4,14.8,20.6,0,2014,2,11
3.625,3.426,164381,35,420.5,841,64.301,22.1,28.1,14.9,0,69,0,7.7,13.9,24.1,0,2014,2,12
2.991,3.456,231265,37,416.5,833,64.366,22.6,26.4,17.7,0,62,0,8.2,8.1,16.5,0,2014,2,13
2.995,3.611,178585,37,357.5,715,61.825,17.1,23,12.7,0,68,0.25,10,19.8,35.2,48.2,2014,2,16
3.356,3.601,203040,33,330,828,58,18.1,25.7,11.8,0,60,0,10,12.6,25.9,0,2014,2,17
2.97,3.703,212571,37,453.5,907,65.42,21.6,31.9,11.5,0,57,0,10,15.4,27.8,0,2014,2,18
3.812,3.585,211797,37,405.5,811,62.023,15.7,25.7,10,0,65,7.37,9.2,22.8,51.9,53.5,2014,2,19
3.092,3.561,217368,30,404.5,809,62.218,14.9,20.2,10,0,55,0,10,27.4,44.6,63,2014,2,20
3.129,3.519,186966,30,280,949,64.366,17.4,24.6,12.8,0,67,0,10,11.3,22.2,0,2014,2,23
2.721,3.39,233170,37,421.5,843,64.522,19.2,30,12.5,0,62,0,0,17,42.4,55.4,2014,2,24
2.994,3.478,240026,37,472,944,65.878,21.1,36.4,12,0,50,0,10,20.4,38.9,57.6,2014,2,25
2.977,3.564,221132,44,489.5,979,65.59,15.5,21.5,10,0,61,0,9.7,20,35.2,0,2014,2,26
3.146,3.67,189753,41,434.5,869,64.522,15.2,21.3,9.6,0,59,0,10,23.3,35.2,42.4,2014,2,27
3.17,3.563,248635,42,351,702,62.16,17,23,12,0,67,0,10,15,27.8,0,2014,3,2
3.177,3.569,226624,37,320,870,66,19.8,27,11.8,0,65,0,10,16.1,42.4,0,2014,3,3
3.175,3.441,208340,34,437,874,65.531,26.7,34.1,13.5,0,42,0,10,24.8,38.9,0,2014,3,4
3.182,3.505,217462,33,400.5,801,61.866,16.1,25.9,13.6,0,63,0,10,21.9,27.8,0,2014,3,5
3.595,3.521,232162,39,477.5,955,65.59,15.7,21,11.7,0,61,0,10,17.4,25.9,0,2014,3,6
3.044,3.571,213487,39,434,868,64.301,18.1,22.7,11.6,0,74,0,10,17,31.7,0,2014,3,7
3.033,3.448,227709,39,410,820,63.578,24.5,35.2,17.7,0,37,0,0,17,38.9,0,2014,3,10
3.156,3.599,249208,48,360,840,65.531,21.5,32.1,14,0,60,3.3,10,17,35.2,46.5,2014,3,11
3.155,3.349,228459,44,465,930,64.411,15.6,21.3,9.7,0,59,0,10,16.3,29.4,0,2014,3,12
3.145,3.31,230038,41,405,810,62.218,17.2,23.7,9.6,0,66,0,10,13,25.9,0,2014,3,13
3.158,3.499,199081,42,355,710,62.371,15.7,20,10.8,0,52,1.02,10,21,42.4,59.4,2014,3,16
3.151,3.476,201565,36,375,750,61.825,18.3,25.3,11.6,0,65,0,10,18.5,35.2,51.9,2014,3,17
3.157,3.402,239774,31,425,850,64.366,16.7,25.1,9.6,0,62,0,10,14.1,25.9,0,2014,3,18
3.158,3.36,222446,35,530,930,65,15.6,23,9.2,0,66,0,10,15.4,29.4,0,2014,3,19
3.021,3.4,219441,35,457.5,915,65.577,23.1,31.1,9.2,0,28,0,0,22.6,37,51.9,2014,3,20
2.482,3.451,230837,40,485,970,65.59,13.2,16.8,9,0,66,0,9.8,13.5,27.8,0,2014,3,23
3.063,3.426,236305,32,422.5,845,64.301,14.7,18.3,8.9,0,76,1.02,10,15,25.9,0,2014,3,24
3.077,3.427,233045,30,462.5,925,64.411,18.3,24.3,11.9,0,66,0,10,11.7,22.2,0,2014,3,25
2.735,3.444,244547,46,422.5,845,64.301,20.3,27.3,12.5,0,70,5.59,8.9,11.9,27.8,0,2014,3,26
2.972,3.431,233574,34,450,855,64.411,19.6,25.9,15.9,0,84,7.87,8.9,12.6,29.4,0,2014,3,27
2.997,3.516,246220,41,415,830,64.412,20.2,26.6,14,0,69,0,10,15.2,38.9,0,2014,3,30
3.003,3.568,267399,35,420,840,65.486,25.2,32,15.4,0,43,0,0,23.5,42.4,0,2014,3,31
3.004,3.652,289188,41,472.5,945,66.354,26.9,33.7,5.5,0,38,0,0,34.6,46.5,72.2,2014,4,1
2.936,3.444,241800,37,380,920,64,16.9,26,13,0,80,0,9.3,16.7,37,0,2014,4,2
2.97,3.416,257357,37,457.5,915,64.366,15.1,17.3,13.3,0,70,0.25,10,22.2,31.7,0,2014,4,3
2.97,3.191,254817,40,405,810,62.374,16.4,23.2,11,0,77,0,10,13.1,35.2,0,2014,4,6
2.993,3.592,265212,36,390,780,62.218,19.9,25.2,10.8,0,53,0,0,21.7,38.9,50,2014,4,7
3.008,3.432,264549,37,220,835,64.412,17.3,21,15.6,0,86,16.26,8.7,14.8,42.4,59.4,2014,4,8
2.905,3.38,310372,32,365,730,61.24,16.4,17.5,16,0,97,18.03,6.3,10.9,18.3,0,2014,4,9
3.009,3.468,330334,24,323,646,59.603,17.1,18.2,16,0,96,10.41,51.1,14.6,33.5,50,2014,4,10
3,3.432,288220,34,335,670,61.866,14.1,20.4,8,0,76,0,10,14.6,27.8,0,2014,4,13
4.799,5.071,300570,44,340,744,56,14.3,20.3,8.1,0,69,0,10,16.9,27.8,55.4,2014,4,14
3.041,3.621,272809,42,357.5,715,62.218,14,19.5,8,0,77,0.25,9.8,14.8,25.9,0,2014,4,15
3.615,3.494,295544,28,345,690,59.446,14.9,22.6,8.9,0,73,0,0,11.5,20.6,0,2014,4,16
3.042,3.495,214921,34,371,742,62.023,12.4,18.9,9,0,72,1.52,10,18.9,35.2,46.5,2014,4,18
3.618,3.483,244534,33,310,740,62.218,15.9,19,10.9,0,48,1.52,0,44.4,59.4,74.1,2014,4,21
3.012,3.492,241273,31,340,680,62.023,13.3,17.3,9.5,0,87,3.05,9.7,11.7,37,0,2014,4,22
3.004,3.417,226195,35,365,730,62.061,14.9,18.8,8.7,0,56,0.51,9.8,15,29.4,0,2014,4,23
3.016,3.575,197036,38,370,740,61.186,15.7,20.1,3.5,0,47,0,0,25.9,37,50,2014,4,25
2.996,3.411,200407,42,340,690,60,10.8,16.1,4.8,0,61,0,10,17.6,35.2,55.4,2014,4,27
3.27,3.401,221851,36,415,830,63.689,18.8,21,4.2,0,60,0,10,43,57.6,81.7,2014,4,28
2.977,3.376,254684,42,407,814,62.246,12.8,20,8.6,0,87,7.87,9.5,17.2,37,0,2014,4,29
3.109,3.39,210285,27,302.5,605,53.59,9.5,16,4.7,0,72,0,10.9,18.5,40.7,0,2014,4,30
3.109,3.367,271464,29,400,800,61.384,11.8,16,4.5,0,57,0,10,20.6,37,0,2014,5,1
3.118,3.322,201502,32,357,714,61.825,10.4,14,7,0,79,1.02,9.8,20.4,35.2,0,2014,5,4
3.117,3.537,260493,43,260,720,62.16,12.1,16.3,8.3,0,75,0.25,10,15.6,25.9,0,2014,5,5
3.123,3.478,284909,37,380,760,61.339,10.8,14,8.7,0,78,0.51,10,15.6,24.1,0,2014,5,6
3.138,3.339,305726,41,385,770,60.757,8.1,14.5,3,0,73,0.25,10,14.1,25.9,0,2014,5,7
3.217,3.37,285409,46,370,740,61.051,11,17.5,2.3,0,58,0,0,14.3,31.7,48.2,2014,5,8
3.124,3.393,242891,43,380,760,62.218,12.2,19,7,0,80,0.51,10,12.4,18.3,0,2014,5,11
3.109,3.435,244843,32,435,870,63.467,12.1,18.5,6,0,76,0,10,10.7,22.2,0,2014,5,12
3.909,4.357,261172,36,210,760,57,13.5,20.4,5.2,0,72,0,10,14.6,25.9,40.7,2014,5,13
3.162,3.565,269218,40,392.5,785,61.748,16.3,21,7.4,0,62,0,10,30.9,46.5,59.4,2014,5,14
3.156,3.48,300138,34,450,900,63.995,17.2,21.6,13.1,0,56,0,0,36.5,46.5,81.7,2014,5,15
3.16,3.926,294444,31,367.5,735,61.396,17.1,21.2,15,0,61,0,0,32.6,40.7,59.4,2014,5,18
2.971,3.575,299317,34,395,790,61.396,17.2,23,12,0,66,0,0,29.1,42.4,51.9,2014,5,19
2.969,3.621,295754,35,440,880,63.728,14.5,22.1,9,0,76,0,10,15.6,31.7,0,2014,5,20
3.512,3.475,288762,30,390,816,62.023,17.9,23.4,8.6,0,65,0,10,27.4,44.6,50,2014,5,21
2.806,3.325,304978,33,408,816,61.496,17.8,21,14.6,0,65,3.3,9.8,22.2,40.7,0,2014,5,22
2.771,3.098,277934,42,355,710,61.719,15.1,19.5,8.8,0,83,0,10,22.4,44.6,48.2,2014,5,25
2.733,3.049,271449,30,400,800,61.496,17.9,19.4,8.6,0,68,0,10,30.7,46.5,61.1,2014,5,26
2.996,3.363,269010,26,420,840,64.256,14.8,20,10.5,0,72,0.51,10,20.4,27.8,0,2014,5,27
3.003,3.424,255480,37,392.5,785,61.866,12.2,18.3,7,0,79,0.25,10,15.6,27.8,48.2,2014,5,28
3.02,3.371,259464,38,430,815,61,9.9,15,4.6,0,78,0,10,8.1,16.5,0,2014,5,29
2.996,3.427,244163,31,355,710,61.866,12,14.3,8.7,0,94,5.33,82,5.9,16.5,0,2014,6,1
3.012,3.431,263614,36,392.5,785,61.339,13.1,15,8.1,0,91,2.29,7.9,13.1,25.9,0,2014,6,2
3.015,3.502,261779,31,387.5,775,62.061,12.8,16.3,8,0,52,0,0,11,21.8,0,2014,6,3
3,3.52,194840,38,370,667,61.863,12.9,18,8.2,0,54,3.3,51.3,12,25.9,0,2014,6,4
3.025,3.569,284030,49,383,766,61.786,9.9,14.9,7,0,56,0,0,7.4,18.3,0,2014,6,5
3.028,2.807,299010,41,370,740,60.952,11.4,15,5.9,0,56,0.25,0,9.8,20.6,0,2014,6,6
3.03,4.139,244693,34,350,700,61.228,10.2,14.2,3,0,54,0,51.5,10.9,22.2,0,2014,6,9
3.186,3.472,239908,42,540,785,60,11.1,18.1,6.3,0,74,0,0,17.8,25.9,0,2014,6,10
3.001,3.386,269410,43,450,900,63.052,12.4,16.2,6.4,0,74,0,0,25.2,42.4,57.6,2014,6,11
3.558,3.726,280648,39,435,870,63.775,12.7,15,9.5,0,75,3.3,10.3,24.1,42.4,63,2014,6,12
2.975,3.593,250741,35,330,660,61.866,10.9,14.3,7.6,0,79,0.51,0,18,21.8,0,2014,6,15
3.751,4.333,256136,42,250,711,62.355,11.2,16,8.3,0,52,1.52,51.8,19.4,29.4,0,2014,6,16
4.515,4.521,260096,34,382,764,61.866,11.6,15.1,8.7,0,76,0,0,11.3,20.6,0,2014,6,17
3.341,3.605,273464,33,346.5,693,60.662,9.8,13.1,6,0,71,0,10.6,12.6,38.9,46.5,2014,6,18
3.014,3.543,270896,35,368.5,737,61.384,10.1,11,5.4,0,52,0,0,31.1,44.6,61.1,2014,6,19
3.219,3.42,262206,38,330,750,58,12.4,14.5,7.7,0,75,0,0,35.9,68.3,55.2,2014,6,22
3.167,3.689,299892,32,310,620,58.036,8.7,14.6,4.9,0,72,2.79,51.8,26.3,53.5,75.9,2014,6,23
3.011,3.553,297802,24,308,616,56.8,10.6,13.6,4.1,0,70,0,0,32.8,74.1,103.5,2014,6,24
3.122,3.386,303524,42,568.5,1137,68.183,12.7,15.3,7.7,0,66,0.25,0,29.1,44.6,66.5,2014,6,25
2.96,3.306,316848,43,360,720,60.786,11.8,15,6.7,0,66,0,0,27.4,51.9,70.6,2014,6,26
3.012,3.586,274982,39,367.5,735,60.981,7.5,11.7,5,0,52,5.59,512,22.8,35.2,51.9,2014,6,29
3.228,3.386,281415,33,360,774,60.758,9.7,12.3,4.8,0,50,0.51,51.8,19.8,33.5,0,2014,6,30
3.018,3.319,291995,44,347.5,695,61.533,11.1,12,7.4,0,75,0,10,16.9,25.9,0,2014,7,1
3.413,3.606,260039,40,367.5,735,61.541,10.6,15.8,5.5,0,68,0,10,20.4,42.4,0,2014,7,2
3.015,3.529,274374,39,380.5,761,61.541,8.7,12,5.4,0,82,0,10,35.9,53.5,63,2014,7,3
3.014,3.424,277587,35,290,580,55.946,9.2,13.2,3.9,0,86,0.25,10.9,16.7,31.7,0,2014,7,6
3.029,3.283,275868,36,367,734,60.662,10.4,15.3,3.1,0,74,0,10,33,50,68.3,2014,7,7
2.715,3.306,279933,33,410,737,50,10.9,13.6,7.9,0,67,0,10,43.5,68.3,85.2,2014,7,8
3.275,3.309,311573,37,255,510,57.99,7.7,12.2,4.8,0,84,8.13,9.5,18.3,40.7,0,2014,7,9
3.011,3.331,305095,49,250,500,58.526,8.9,13.5,4.2,0,80,0,10,26.1,38.9,55.4,2014,7,10
3.01,3.525,286865,39,277,554,58.616,11.1,13,3.2,0,67,0,10,17.2,22.2,0,2014,7,13
3.016,3.389,312907,40,307.5,615,58.617,9.2,12.4,6.6,0,72,0,10,16.5,37,0,2014,7,14
3.333,3.403,307497,39,300,600,58.616,10,11.6,6.8,0,78,0.51,10,22.6,38.9,57.6,2014,7,15
3.021,3.377,256799,31,250,586,54.63,10.4,13.8,7,0,73,0,10,27,38.9,57.6,2014,7,16
3.012,3.403,219150,38,337.5,675,60.991,7.2,11.8,4.5,0,70,3.81,10,27.2,57.6,0,2014,7,17
3.015,3.343,273029,37,372.5,745,61.033,7.6,12.8,4,0,87,0,10,8.3,18.3,0,2014,7,20
3.009,3.345,342539,31,382.5,765,60.406,7.3,13.4,3,0,86,0.25,6.9,8.9,14.8,0,2014,7,21
3.278,3.571,354523,40,370,740,60.629,5,10.1,0,0,97,0,4.7,7.8,14.8,0,2014,7,22
3.013,3.46,352130,40,420,840,62.257,8.6,12.4,-0.4,0,78,0,0,16.5,29.4,0,2014,7,23
2.988,3.535,339981,39,430,920,46,11.3,14,4.3,0,76,0,10,24.4,35.2,53.5,2014,7,24
3.003,3.438,366871,35,306.5,613,56.089,11.3,16.4,5.4,0,71,0,10,29.4,50,57.6,2014,7,27
3.17,3.44,315535,33,325,650,61.396,12.2,16.2,7.5,0,67,0.25,10,32.8,46.5,51.9,2014,7,28
3.326,3.484,292272,31,341.5,683,61.396,13.8,16,9.1,0,71,0,10,29.1,48.2,55.4,2014,7,29
3.03,3.431,300308,36,350,779,61.396,14.8,18,10.2,0,63,0,10,30.6,55.4,74.1,2014,7,30
3.264,3.492,315762,29,373,746,60.563,9.1,18.6,4,0,62,6.1,9.2,33.3,53.5,88.9,2014,7,31
3.053,3.467,230599,35,279,558,55.946,6.6,13.8,0,0,57,0,10,18.5,25.9,0,2014,8,3
1.606,3.28,322902,36,369,738,60.601,8.8,14.1,1.4,0,55,0,9.7,16.1,25.9,0,2014,8,4
3.354,3.175,323313,37,340,706,57,12.3,15.8,4.5,0,62,0,10,13.5,24.1,0,2014,8,5
3.097,3.613,319754,39,344.5,689,61.533,10.2,15.3,7.6,0,78,0.51,9.7,14.3,22.2,0,2014,8,6
3.049,3.486,325743,34,352.5,705,61.24,10.8,12.8,10,0,83,0.51,1.5,13,22.2,0,2014,8,7
3.048,3.347,285829,33,368.5,737,60.662,10.2,15.3,6.7,0,62,0,10,21.5,40.7,0,2014,8,8
3.219,3.416,306656,37,336.5,673,60.563,6.4,12.3,3.8,0,79,5.33,10,18.9,40.7,57.6,2014,8,10
3.025,3.326,326631,30,310,631,59.849,6.6,11.1,3.1,0,79,0,10,11.9,27.8,0,2014,8,11
3.371,4.007,362228,27,390,780,58.612,8.2,11.5,3.3,0,85,0,10,10.7,22.2,0,2014,8,12
3.737,4.389,346222,25,309,618,56.764,10,13.5,6.4,0,80,0.51,9.8,10.2,24.1,0,2014,8,13
4.558,4.834,219950,25,311,622,56.892,7.3,14.5,2.5,0,78,0,10,10.6,18.3,0,2014,8,14
3.576,4.076,330714,32,240,734,55,10.9,14,7.3,0,75,0,10,22.6,33.5,0,2014,8,17
3.399,3.648,349739,36,424,848,63.091,10.3,12.7,8.2,0,88,3.81,9.7,18,27.8,0,2014,8,18
3.352,3.577,323562,24,355,710,59.446,9.9,12,8,0,70,0,10,14.8,24.1,0,2014,8,19
3.32,3.687,318822,25,478.5,957,63.643,9.5,12.4,5.8,0,75,0,10,11.1,18.3,0,2014,8,20
3.025,3.53,341913,22,385,770,58.612,10.8,17,5.5,0,73,0,10,17.6,27.8,0,2014,8,21
3.052,3.261,341476,30,320,640,60.682,11.7,15.5,7.7,0,70,0.51,10,16.5,25.9,0,2014,8,24
3.048,3.574,333601,25,280,661,59.446,10.6,15.1,7.8,0,91,2.79,6.9,12.6,24.1,0,2014,8,25
3.041,3.455,305988,35,342.5,685,60.406,10.9,17.7,5,0,80,0.25,10,10.4,22.2,0,2014,8,26
3.207,3.443,304984,31,509.5,1019,63.643,10.1,19,2.7,0,76,0,8,8,18.3,0,2014,8,27
3.21,3.552,253707,38,400,800,61.033,11.3,20.3,2.3,0,70,0,5.5,7.2,18.3,0,2014,8,28
3.061,3.472,316189,33,335,670,61.591,16.2,21,9.9,0,49,0,0,37,51.9,74.1,2014,8,31
3.068,3.357,296212,22,387.5,775,59.446,9.7,15.9,7,0,84,8.89,9.7,16.5,27.8,0,2014,9,1
3.204,3.422,298283,42,400,680,56,8.6,13.8,4.9,0,76,1.52,10,20.9,38.9,53.5,2014,9,2
3.09,3.419,293375,36,343.5,687,60.505,7.7,13.1,2,0,74,0,10,11.7,22.2,0,2014,9,3
3.05,3.528,281730,36,412.5,825,61.033,9.1,14.6,1.7,0,78,0,10,11.7,22.2,0,2014,9,4
3.319,3.396,294510,35,345,690,60.857,13.6,19.8,4.7,0,56,0,10,22.6,50,63,2014,9,7
3.16,3.551,235658,42,452.5,905,63.931,17.2,21.2,8.2,0,50,0,10,46.9,64.8,92.4,2014,9,8
3.152,3.496,281629,35,625,1250,68.183,12.9,19.6,8,0,79,12.95,9.7,22.4,59.4,79.5,2014,9,9
3.149,3.664,240832,32,380,955,63.885,14.4,18,7.4,0,57,3.81,9.3,24.3,33.5,50,2014,9,10
3.251,3.537,282142,37,475,950,63.643,9.3,15.4,4,0,68,0,10,19.8,38.9,50,2014,9,11
3.256,3.828,264255,27,330,660,58.711,8.3,14.1,2.9,0,74,0,10,9.1,16.5,0,2014,9,14
3.604,4.176,287358,34,425,850,62.257,13.3,18.1,6.4,0,79,0,9.2,14.1,24.1,0,2014,9,15
3.908,4.724,295183,30,410,820,61.24,10.4,14,6.9,0,82,2.03,9.2,17,31.7,59.4,2014,9,16
4.202,4.355,322165,37,360,940,62.479,16.5,26,6.6,0,62,1.52,10,28.9,57.6,74.1,2014,10,6
3.768,4.26,331715,33,382.5,765,60.563,11.3,16.9,6.7,0,64,0.25,10,20,38.9,48.2,2014,10,7
3.459,3.998,310535,38,386.5,773,60.406,12.8,19.8,6.5,0,70,0.25,10,13.5,24.1,0,2014,10,8
3.897,3.674,299576,31,387.5,775,61.591,17.3,23.5,7.4,0,48,0,0,21.1,44.6,0,2014,10,9
3.003,3.686,257216,39,370,681,61,16.5,31.3,6.9,0,55,2.03,10.3,21.3,35.2,51.9,2014,10,12
3.179,3.769,266428,39,375,750,61.748,10.2,15.6,7.6,0,67,7.11,10,28,44.6,63,2014,10,13
3.271,3.605,263099,34,325,650,60.662,9.6,15.6,4.6,0,61,0,10,22,42.4,55.4,2014,10,14
3.322,3.992,252674,25,350,700,59.239,11.4,15.7,4.3,0,64,0,10,15.4,27.8,0,2014,10,15
3.331,3.759,237415,25,348.5,697,60.073,11.3,15.9,7,0,71,1.27,9.8,15.7,27.8,0,2014,10,16
3.591,4.062,244135,42,355,710,62.569,15.8,28.2,9,0,55,0,10,28.9,48.2,68.3,2014,10,19
3.728,3.533,242707,41,280,995,63.052,12.7,21,5.5,0,59,0,0,19.1,33.5,53.5,2014,10,20
3.093,4.072,259769,51,414.5,829,63.006,21,27.6,5,0,48,0,0,27.6,57.6,72.2,2014,10,21
3.531,3.915,245832,52,422.5,845,64.849,20.8,31.3,13.7,0,56,0,8.2,22.8,46.5,0,2014,10,22
3.483,3.595,248445,48,370,740,62.246,16.1,26,13,0,81,0,9,13.1,33.5,46.5,2014,10,23
3.357,3.661,283443,29,407.5,815,61.69,19.2,25.2,11.5,0,52,16.51,9.5,21.5,42.4,63,2014,10,26
3.33,3.583,305252,24,310,620,57.281,13.1,25.2,8,0,55,0.76,10,26.1,50,68.3,2014,10,27
3.267,3.59,287551,34,360,735,64,13.6,20,8,0,62,0.51,10.9,21.1,38.9,55.4,2014,10,28
3.039,3.516,169942,40,421,842,63.729,15.6,23,7.7,0,64,0,10,10.7,27.8,0,2014,10,29
3.939,4.498,263759,41,412.5,825,61.891,14.7,24,8,0,65,0,10,14.4,29.4,0,2014,10,30
4.378,4.414,272029,38,327.5,655,61.033,11.2,17,6.7,0,65,0,10,15.7,31.7,46.5,2014,11,2
3.455,3.638,272830,26,305,610,53.636,18.4,29.3,10.4,0,37,0,10,28.9,42.4,57.6,2014,11,4
3.398,3.709,245850,32,260,655,61.339,12.3,18.2,7,0,60,0,10,19.1,31.7,48.2,2014,11,5
3.057,3.809,283417,48,370,740,62.412,16.1,27,7.3,0,50,0,10,14.8,31.7,0,2014,11,6
3.43,3.639,221996,39,370,740,62.218,13.9,19.9,8,0,61,0,10,18.9,29.4,57.6,2014,11,9
3.313,3.472,257268,28,350,700,60.424,14.3,20.5,8.3,0,57,0,10,23,35.2,53.5,2014,11,10
3.115,3.475,277460,28,365,730,58.612,12,18.3,5.9,0,63,0,10,15.4,27.8,0,2014,11,11
3.752,4.458,241697,26,455,910,62.941,16.9,27.4,5,0,53,0,0,12.2,27.8,0,2014,11,12
3.746,3.868,250057,40,350,715,54,27.2,33.4,18.9,0,20,0,0,20.2,37,61.1,2014,11,13
3.438,3.814,265479,21,216,432,53.053,14.5,20.2,10.1,0,62,0.51,10,20.9,35.2,50,2014,11,16
3.4,3.75,224226,37,335,670,62.023,14.1,21.2,8,0,59,0.25,10,18.3,37,51.9,2014,11,17
2.529,3.749,250850,41,412.5,825,62.218,15.1,20.2,7.3,0,63,0,10,14.3,25.9,0,2014,11,18
3.542,3.938,249239,48,430,840,63.885,23.5,29,9.6,0,26,0,0,26.3,59.4,75.9,2014,11,19
3.827,4.17,266688,44,350,700,63.521,20.9,31.2,15,0,55,0,10,23.3,44.6,51.9,2014,11,20
3.62,3.992,116638,34,267.5,535,55.506,18.2,25.7,12,0,64,0,10,15.4,46.5,53.5,2014,11,23
3.994,4.05,254734,33,360,720,62.023,13.7,22.8,8.6,0,80,4.57,10,19.4,42.4,61.1,2014,11,24
3.846,3.889,261025,35,360,600,54,14.7,21.6,8.5,0,55,0,10,18.5,29.4,46.5,2014,11,25
3.216,3.628,269985,37,380,760,61.866,14.1,18,8.5,0,64,0,9.7,16.9,27.8,0,2014,11,26
3.366,3.788,278556,25,415,830,63.155,14,18.8,10,0,67,0,10,15.4,29.4,0,2014,11,27
3.644,3.852,270675,41,347,694,62.865,28.1,35,14.2,0,37,0,10,29.6,64.8,66.5,2014,11,30
3.424,3.745,263073,34,320,640,60.938,19.7,28.7,15,0,72,0.51,10,14.4,33.5,0,2014,12,1
3.489,3.759,254788,40,755,1510,68.183,19.1,27.2,14.7,0,68,0,10,14.6,29.4,0,2014,12,2
3.485,3.763,258868,50,472.5,945,64.477,18.6,23.2,15.2,0,84,10.92,8.4,15.2,29.4,0,2014,12,3
2.878,3.744,283142,42,290,775,61.533,20.5,26,16,0,74,0.25,9.8,17.8,25.9,0,2014,12,4
3.799,4.033,270596,22,380.5,761,59.446,15.2,17.3,13.2,0,88,0.76,9,15.6,27.8,0,2014,12,7
3.506,3.52,226507,28,340,680,59.545,16.2,20.1,13.9,0,72,0,10,17.2,25.9,0,2014,12,8
2.74,2.854,262896,30,420,840,63.136,15.5,21.5,10.9,1015.7,71,0,16.3,11.6,20.6,0,2014,12,9
3.779,4.215,249125,30,290,760,69,17.1,20.3,10.7,0,50,0.51,9.8,19.4,31.7,48.2,2014,12,10
3.861,4.326,271225,36,442.5,885,63.886,16.6,20.7,13.8,0,76,0.25,10,23.2,40.7,0,2014,12,11
3.747,3.932,203326,35,385,770,61.668,18.8,26.9,14,0,66,0,10,15.4,29.4,0,2014,12,14
3.688,3.939,235077,34,380,760,61.866,18.6,25.1,13.5,0,74,0,9,13.1,24.1,0,2014,12,15
